,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,tipo_renda_Pensioner,tipo_renda_State servant,tipo_renda_Student,tipo_renda_Working,educacao_Higher education,educacao_Incomplete higher,educacao_Lower secondary,educacao_Secondary / secondary special,estado_civil_Married,estado_civil_Separated,estado_civil_Single / not married,estado_civil_Widow,tipo_residencia_House / apartment,tipo_residencia_Municipal apartment,tipo_residencia_Office apartment,tipo_residencia_Rented apartment,tipo_residencia_With parents
4540,0,0,1,0,35.2027397260274,17.186301369863013,1,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
4542,1,0,1,0,41.47945205479452,4.178082191780822,1,1,1,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
4549,0,0,1,0,44.2,1.5945205479452054,1,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4550,1,1,1,1,46.97808219178082,5.4301369863013695,1,0,0,0,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4552,0,0,1,0,65.88219178082191,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4554,1,0,1,0,66.75342465753425,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4555,0,0,0,1,31.863013698630137,5.178082191780822,1,0,0,0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
4556,0,0,1,0,30.084931506849315,1.5123287671232877,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
4557,1,1,1,1,41.66301369863014,5.758904109589041,1,1,1,0,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4565,0,1,1,0,49.61643835616438,5.682191780821918,1,0,0,0,2.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4567,0,0,1,2,39.43835616438356,14.52054794520548,1,0,0,0,4.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4569,0,0,1,0,53.36438356164384,5.178082191780822,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
4570,0,0,1,1,28.82191780821918,6.515068493150685,1,0,0,0,3.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4577,0,1,1,0,37.945205479452056,7.6,1,0,0,0,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4578,1,1,1,2,30.4986301369863,2.512328767123288,1,0,1,0,4.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4582,0,1,1,0,45.59178082191781,3.854794520547945,1,0,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
4589,1,1,0,2,27.794520547945204,0.6821917808219178,1,1,0,0,4.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
4590,1,1,1,1,47.224657534246575,4.684931506849315,1,0,0,0,3.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4592,0,0,1,1,52.536986301369865,8.106849315068493,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
4594,0,0,1,0,36.88493150684931,2.1013698630136988,1,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
4597,0,0,1,0,41.57808219178082,19.45205479452055,1,0,1,0,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4600,0,0,1,0,66.7068493150685,-1000.6657534246576,1,0,1,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4603,0,0,0,0,43.13424657534247,6.441095890410959,1,1,1,0,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
4606,1,1,1,2,33.06849315068493,0.6821917808219178,1,1,0,0,4.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4609,0,1,0,1,28.583561643835612,8.106849315068493,1,0,0,0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4610,1,0,1,0,61.23561643835617,-1000.6657534246576,1,0,1,0,1.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
4611,0,1,1,0,58.156164383561645,2.271232876712329,1,0,0,0,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4612,0,0,1,0,57.33972602739726,4.523287671232877,1,0,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
4616,0,1,0,1,27.753424657534246,4.523287671232877,1,0,0,0,2.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
4626,0,1,1,0,58.52054794520548,-1000.6657534246576,1,0,1,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4629,0,0,1,1,40.04383561643836,12.446575342465753,1,1,1,1,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
4631,0,0,1,0,61.1013698630137,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4638,0,1,1,0,62.70958904109589,0.6054794520547945,1,0,1,0,2.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4644,1,0,0,0,45.536986301369865,0.6054794520547945,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
4647,0,0,1,1,37.28493150684932,4.441095890410959,1,0,0,0,2.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
4653,1,1,1,1,42.75616438356165,0.4383561643835616,1,0,1,0,3.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
4658,1,0,1,0,36.81095890410959,4.441095890410959,1,1,0,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4659,0,0,1,0,24.931506849315067,3.104109589041096,1,0,0,0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
4666,0,0,1,0,52.131506849315066,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4674,0,0,1,0,55.86027397260274,-1000.6657534246576,1,0,1,0,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4675,0,1,0,0,45.73150684931507,19.534246575342465,1,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4679,0,0,1,0,38.43835616438356,5.684931506849315,1,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
4684,0,0,1,0,54.88219178082192,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4686,0,0,1,0,49.72602739726028,7.526027397260274,1,0,0,0,2.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4689,1,0,1,2,43.90958904109589,15.449315068493153,1,0,1,0,4.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4694,0,1,1,0,59.9013698630137,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4696,0,0,1,0,47.26849315068493,11.69041095890411,1,0,0,0,2.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4701,0,0,1,0,55.73972602739726,-1000.6657534246576,1,0,1,0,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4702,0,0,1,0,59.701369863013696,13.942465753424658,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
4703,0,1,1,2,32.0,10.610958904109587,1,1,1,0,4.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4705,0,1,1,1,44.14794520547945,1.9342465753424656,1,0,0,0,3.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4706,1,1,1,2,32.43287671232877,2.186301369863014,1,0,0,0,4.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4711,0,0,0,0,32.85205479452055,1.9342465753424656,1,0,0,1,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
4714,1,0,1,2,38.8027397260274,18.86575342465753,1,0,1,0,4.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4718,0,0,1,0,22.07123287671233,1.1863013698630136,1,0,0,0,2.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
4719,0,0,0,0,28.339726027397266,6.93972602739726,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4720,0,1,1,0,33.8,11.613698630136986,1,0,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
4725,0,1,1,0,64.23835616438356,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4727,0,0,1,0,57.87945205479452,-1000.6657534246576,1,0,0,0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
4746,0,0,0,1,33.45205479452055,7.526027397260274,1,0,0,0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
4750,0,0,1,1,26.471232876712328,2.936986301369863,1,1,1,0,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
4751,0,1,1,2,31.32054794520548,0.3534246575342465,1,0,1,0,4.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
4758,0,0,1,0,64.35068493150685,14.10958904109589,1,0,1,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4759,0,1,1,1,38.56438356164384,5.76986301369863,1,0,0,0,2.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
4761,0,1,1,0,57.55890410958904,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4764,0,1,1,0,42.28767123287671,0.6821917808219178,1,0,0,0,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4765,0,0,1,1,43.57534246575342,24.117808219178084,1,1,0,0,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4770,0,0,0,1,30.328767123287676,1.7671232876712328,1,1,0,0,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4772,1,0,1,0,49.18356164383562,11.194520547945206,1,0,0,0,1.0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
4774,0,0,0,1,33.42465753424658,12.446575342465753,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
4776,0,1,1,1,37.98630136986301,4.608219178082192,1,0,1,0,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4780,0,0,1,1,57.13424657534247,10.106849315068493,1,0,0,0,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4782,0,0,1,0,59.12602739726027,-1000.6657534246576,1,0,0,0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
4784,0,0,1,2,37.772602739726025,8.443835616438356,1,0,0,0,4.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4786,0,0,1,0,42.945205479452056,6.021917808219178,1,0,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
4788,0,0,0,0,26.972602739726028,3.356164383561644,1,1,0,0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4789,0,0,1,0,48.28219178082192,25.36986301369863,1,0,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
4790,0,1,1,0,43.397260273972606,4.936986301369863,1,0,0,0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4791,0,1,1,0,60.15068493150685,34.12328767123287,1,0,0,0,2.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4795,1,0,1,1,45.83013698630137,19.367123287671237,1,0,1,0,3.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4796,1,1,1,0,26.9013698630137,0.5205479452054794,1,1,1,0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
4799,0,0,1,0,48.52054794520548,4.854794520547945,1,0,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
4800,0,0,1,0,59.136986301369866,-1000.6657534246576,1,0,1,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4801,1,0,1,0,47.88767123287671,6.131506849315069,1,1,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
4802,1,0,0,0,35.40547945205479,0.4657534246575342,1,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
4803,1,1,1,0,43.66027397260274,4.131506849315069,1,0,1,0,2.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
4812,0,0,1,1,31.4,3.2986301369863016,1,1,1,0,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4813,0,0,1,2,31.34246575342466,6.635616438356164,1,0,0,0,3.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
4815,0,1,1,2,36.67397260273973,3.8794520547945206,1,0,0,0,4.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4816,0,0,1,0,66.03013698630137,-1000.6657534246576,1,0,1,0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4818,1,0,1,0,53.93150684931507,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4821,1,1,0,0,26.95616438356164,4.298630136986302,1,0,0,0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
4822,1,1,1,0,36.73150684931507,1.4657534246575343,1,0,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
4823,1,0,0,1,39.81917808219178,18.22465753424657,1,0,0,0,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
4827,1,1,1,0,64.5095890410959,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4829,0,1,1,0,52.18082191780822,15.391780821917807,1,0,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
4831,1,1,0,2,39.59452054794521,11.64109589041096,1,0,0,0,4.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4832,0,0,0,1,41.47123287671233,6.131506849315069,1,1,1,0,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
4833,0,0,0,0,37.704109589041096,5.383561643835616,1,1,0,0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
4834,0,0,1,0,37.23013698630137,0.547945205479452,1,0,0,1,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4837,1,1,1,0,61.5013698630137,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4842,1,0,1,2,48.778082191780825,3.1315068493150684,1,0,0,0,4.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4843,1,1,0,1,31.5013698630137,12.304109589041095,1,0,0,0,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4847,0,0,0,0,58.583561643835615,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4850,0,0,1,0,60.6,-1000.6657534246576,1,0,0,0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
4851,1,1,0,2,29.964383561643835,4.216438356164384,1,0,0,0,4.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4862,1,1,0,1,40.43561643835616,2.7150684931506848,1,0,0,0,3.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4864,0,0,1,0,51.989041095890414,10.219178082191782,1,1,0,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4866,1,0,1,2,44.85479452054795,-1000.6657534246576,1,0,0,0,4.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4868,0,1,1,0,41.0027397260274,0.4657534246575342,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4877,0,0,1,2,32.224657534246575,1.9616438356164383,1,0,0,0,4.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4879,1,1,1,1,42.61917808219178,3.635616438356165,1,0,0,0,3.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4882,0,0,1,1,39.45205479452055,6.882191780821918,1,0,0,0,3.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4889,0,0,1,1,28.78904109589041,0.3808219178082191,1,1,0,0,3.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
4890,1,1,1,1,39.32876712328767,15.224657534246576,1,1,0,0,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4894,0,0,1,0,58.9041095890411,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4896,0,1,1,0,40.6958904109589,6.717808219178083,1,0,1,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4898,1,0,1,0,65.12328767123287,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
4900,0,0,1,1,34.85205479452055,14.389041095890413,1,0,0,0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4904,0,0,1,1,37.66849315068493,7.882191780821918,1,1,1,0,3.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4905,0,0,1,0,37.77534246575343,10.471232876712328,1,1,1,0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
4908,0,0,1,1,29.78630136986301,2.8794520547945206,1,0,0,0,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4909,0,0,1,0,44.48219178082192,8.219178082191782,1,0,0,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
4911,1,0,1,0,28.16986301369863,0.2958904109589041,1,0,0,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
4913,1,0,0,1,29.523287671232875,3.2164383561643834,1,0,0,0,2.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
4917,0,0,1,0,60.394520547945206,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4921,1,1,0,0,28.65753424657534,0.6328767123287671,1,0,0,0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
4922,1,1,0,0,36.35890410958904,4.298630136986302,1,0,0,0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4923,1,1,1,0,40.8027397260274,7.134246575342465,1,0,0,0,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4925,0,1,0,0,54.69315068493151,3.3835616438356166,1,0,1,0,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4927,0,0,0,0,37.58904109589041,5.298630136986302,1,0,1,0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4928,1,1,0,0,25.41917808219178,3.0493150684931507,1,0,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
4932,1,0,1,1,25.86575342465753,3.3835616438356166,1,0,0,0,3.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4936,0,0,1,0,64.91506849315068,-1000.6657534246576,1,0,0,0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
4939,1,1,0,0,42.51780821917808,5.550684931506849,1,1,0,0,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4940,0,0,1,0,61.2054794520548,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4946,0,0,1,0,37.44657534246576,2.213698630136986,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4948,0,0,0,1,45.25205479452055,2.7150684931506848,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
4953,0,1,1,2,34.57808219178082,3.635616438356165,1,0,0,0,4.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4959,1,0,0,0,26.684931506849317,8.301369863013699,1,0,0,0,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4964,0,1,1,1,45.78082191780822,8.471232876712328,1,0,0,0,3.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4965,1,1,0,1,26.64383561643836,0.3808219178082191,1,0,0,0,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4967,1,0,1,0,57.12602739726027,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4969,0,0,1,0,63.79726027397261,-1000.6657534246576,1,0,0,0,1.0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
4971,0,0,1,0,63.79726027397261,-1000.6657534246576,1,0,0,0,1.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
4972,1,1,1,0,46.54794520547945,5.550684931506849,1,0,0,0,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
4978,0,0,1,0,65.56986301369864,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
4985,1,0,0,0,41.1972602739726,6.049315068493151,1,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
4986,0,1,0,1,36.07671232876712,7.052054794520548,1,0,0,0,3.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4991,0,1,1,0,52.21095890410959,10.72054794520548,1,0,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
4992,1,0,1,1,42.865753424657534,12.64109589041096,1,0,0,0,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4994,1,1,0,1,24.895890410958906,2.8794520547945206,1,0,0,0,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
4995,1,1,1,1,32.23835616438356,10.63835616438356,1,1,0,0,3.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
4996,0,0,1,0,57.92876712328767,4.635616438356164,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
4999,0,0,0,0,47.27945205479452,2.128767123287671,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
5001,0,0,1,1,41.2027397260274,9.134246575342466,1,0,1,0,2.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
5002,0,0,1,0,30.03013698630137,1.295890410958904,1,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5007,1,1,1,1,32.85479452054795,9.805479452054794,1,0,0,0,3.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
5012,0,1,1,0,58.97808219178082,-1000.6657534246576,1,0,0,0,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5016,0,0,1,0,48.76986301369863,23.23013698630137,1,0,0,0,2.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
5021,0,0,0,0,62.59178082191781,25.312328767123287,1,0,0,0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
5025,0,0,1,0,35.53972602739726,6.049315068493151,1,1,1,0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
5028,0,0,1,0,62.31232876712329,-1000.6657534246576,1,0,1,0,2.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
5030,0,0,1,0,53.41917808219178,3.717808219178082,1,0,0,0,1.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
5032,0,1,1,2,38.9972602739726,15.643835616438356,1,1,0,0,4.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
5035,0,1,1,0,57.61643835616438,6.298630136986302,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
5039,0,0,1,0,64.64657534246575,-1000.6657534246576,1,0,0,0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
5046,0,1,0,0,51.153424657534245,3.2164383561643834,1,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
5048,0,0,1,0,58.917808219178085,-1000.6657534246576,1,0,1,0,1.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
5051,0,0,1,2,37.37808219178082,10.63835616438356,1,0,0,0,4.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
5053,1,0,0,0,34.56438356164384,5.216438356164384,1,1,1,0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
5056,0,0,1,0,55.61917808219178,8.471232876712328,1,1,1,0,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
5064,1,0,0,0,48.64383561643836,11.884931506849314,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
5066,0,0,1,0,44.16438356164384,2.7150684931506848,1,0,1,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
5068,1,1,0,0,30.254794520547943,5.717808219178083,1,0,0,0,2.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
5071,0,1,1,0,52.83287671232877,7.134246575342465,1,1,1,0,2.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
5074,0,1,1,0,61.42465753424658,-1000.6657534246576,1,0,1,0,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
5077,1,1,1,0,39.89041095890411,6.635616438356164,1,0,0,0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
5078,1,1,0,0,55.18356164383562,0.2958904109589041,1,0,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
5079,0,0,1,0,66.17260273972603,-1000.6657534246576,1,0,0,0,1.0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
5081,0,0,0,1,31.36164383561644,8.301369863013699,1,0,0,0,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
